Start,End,Duration
TUAS CRESCENT MRT STATION,GUL CIRCLE MRT STATION,3
GUL CIRCLE MRT STATION,JOO KOON MRT STATION,3
JOO KOON MRT STATION,PIONEER MRT STATION,3
PIONEER MRT STATION,BOON LAY MRT STATION,3
BOON LAY MRT STATION,LAKESIDE MRT STATION,3
LAKESIDE MRT STATION,CHINESE GARDEN MRT STATION,2
CHINESE GARDEN MRT STATION,JURONG EAST MRT STATION,3
JURONG EAST MRT STATION,CLEMENTI MRT STATION,4
CLEMENTI MRT STATION,DOVER MRT STATION,3
DOVER MRT STATION,BUONA VISTA MRT STATION,2
BUONA VISTA MRT STATION,COMMONWEALTH MRT STATION,2
COMMONWEALTH MRT STATION,QUEENSTOWN MRT STATION,2
QUEENSTOWN MRT STATION,REDHILL MRT STATION,3
REDHILL MRT STATION,TIONG BAHRU MRT STATION,2
TIONG BAHRU MRT STATION,OUTRAM PARK MRT STATION,3
OUTRAM PARK MRT STATION,TANJONG PAGAR MRT STATION,2
TANJONG PAGAR MRT STATION,RAFFLES PLACE MRT STATION,3
RAFFLES PLACE MRT STATION,CITY HALL MRT STATION,2
CITY HALL MRT STATION,BUGIS MRT STATION,2
BUGIS MRT STATION,LAVENDER MRT STATION,3
LAVENDER MRT STATION,KALLANG MRT STATION,2
KALLANG MRT STATION,ALJUNIED MRT STATION,3
ALJUNIED MRT STATION,PAYA LEBAR MRT STATION,2
PAYA LEBAR MRT STATION,EUNOS MRT STATION,2
EUNOS MRT STATION,KEMBANGAN MRT STATION,3
KEMBANGAN MRT STATION,BEDOK MRT STATION,3
BEDOK MRT STATION,TANAH MERAH MRT STATION,3
TANAH MERAH MRT STATION,SIMEI MRT STATION,3
SIMEI MRT STATION,TAMPINES MRT STATION,3
TAMPINES MRT STATION,PASIR RIS MRT STATION,3
TANAH MERAH MRT STATION,EXPO MRT STATION,3
EXPO MRT STATION,CHANGI AIRPORT MRT STATION,4
HARBOURFRONT MRT STATION,TELOK BLANGAH MRT STATION,3
TELOK BLANGAH MRT STATION,LABRADOR PARK MRT STATION,1
LABRADOR PARK MRT STATION,PASIR PANJANG MRT STATION,3
PASIR PANJANG MRT STATION,HAW PAR VILLA MRT STATION,2
HAW PAR VILLA MRT STATION,KENT RIDGE MRT STATION,2
KENT RIDGE MRT STATION,ONE-NORTH MRT STATION,2
ONE-NORTH MRT STATION,BUONA VISTA MRT STATION,2
BUONA VISTA MRT STATION,HOLLAND VILLAGE MRT STATION,2
HOLLAND VILLAGE MRT STATION,FARRER ROAD MRT STATION,2
FARRER ROAD MRT STATION,BOTANIC GARDENS MRT STATION,2
BOTANIC GARDENS MRT STATION,CALDECOTT MRT STATION,5
CALDECOTT MRT STATION,MARYMOUNT MRT STATION,3
MARYMOUNT MRT STATION,BISHAN MRT STATION,2
BISHAN MRT STATION,LORONG CHUAN MRT STATION,3
LORONG CHUAN MRT STATION,SERANGOON MRT STATION,2
SERANGOON MRT STATION,BARTLEY MRT STATION,4
BARTLEY MRT STATION,TAI SENG MRT STATION,3
TAI SENG MRT STATION,MACPHERSON MRT STATION,2
MACPHERSON MRT STATION,PAYA LEBAR MRT STATION,2
PAYA LEBAR MRT STATION,DAKOTA MRT STATION,2
DAKOTA MRT STATION,MOUNTBATTEN MRT STATION,2
MOUNTBATTEN MRT STATION,STADIUM MRT STATION,2
STADIUM MRT STATION,NICOLL HIGHWAY MRT STATION,2
NICOLL HIGHWAY MRT STATION,PROMENADE MRT STATION,2
PROMENADE MRT STATION,BAYFRONT MRT STATION,6
BAYFRONT MRT STATION,MARINA BAY MRT STATION,2
PROMENADE MRT STATION,ESPLANADE MRT STATION,2
ESPLANADE MRT STATION,BRAS BASAH MRT STATION,2
BRAS BASAH MRT STATION,DHOBY GHAUT MRT STATION,2
WOODLANDS NORTH MRT STATION,WOODLANDS MRT STATION,2
WOODLANDS MRT STATION,WOODLANDS SOUTH MRT STATION,2
WOODLANDS SOUTH MRT STATION,SPRINGLEAF MRT STATION,5
SPRINGLEAF MRT STATION,LENTOR MRT STATION,3
LENTOR MRT STATION,MAYFLOWER MRT STATION,3
MAYFLOWER MRT STATION,BRIGHT HILL MRT STATION,2
BRIGHT HILL MRT STATION,UPPER THOMSON MRT STATION,2
UPPER THOMSON MRT STATION,CALDECOTT MRT STATION,3
CALDECOTT MRT STATION,STEVENS MRT STATION,4
STEVENS MRT STATION,NAPIER MRT STATION,3
NAPIER MRT STATION,ORCHARD BOULEVARD MRT STATION,2
ORCHARD BOULEVARD MRT STATION,ORCHARD MRT STATION,2
ORCHARD MRT STATION,GREAT WORLD MRT STATION,3
GREAT WORLD MRT STATION,HAVELOCK MRT STATION,2
HAVELOCK MRT STATION,OUTRAM PARK MRT STATION,2
OUTRAM PARK MRT STATION,MAXWELL MRT STATION,2
MAXWELL MRT STATION,SHENTON WAY MRT STATION,1
SHENTON WAY MRT STATION,MARINA BAY MRT STATION,2
MARINA BAY MRT STATION,GARDENS BY THE BAY MRT STATION,4
CHOA CHU KANG MRT STATION,SOUTH VIEW LRT STATION,2
SOUTH VIEW LRT STATION,KEAT HONG LRT STATION,2
KEAT HONG LRT STATION,TECK WHYE LRT STATION,2
TECK WHYE LRT STATION,PHOENIX LRT STATION,2
PHOENIX LRT STATION,BUKIT PANJANG MRT STATION,2
BUKIT PANJANG MRT STATION,SENJA LRT STATION,2
SENJA LRT STATION,JELAPANG LRT STATION,2
JELAPANG LRT STATION,SEGAR LRT STATION,2
SEGAR LRT STATION,FAJAR LRT STATION,2
FAJAR LRT STATION,BANGKIT LRT STATION,2
BANGKIT LRT STATION,PENDING LRT STATION,2
PENDING LRT STATION,PETIR LRT STATION,2
PETIR LRT STATION,BUKIT PANJANG MRT STATION,2
